,title,price,link
21,"REDMI 12 (Pastel Blue, 128 GB)","9,999",https://flipkart.com//redmi-12-pastel-blue-128-gb/p/itm9b1a6640faccd?pid=MOBGRMFKAHNTZPWE&lid=LSTMOBGRMFKAHNTZPWE1H5IWS&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGRMFKAHNTZPWE.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
22,"REDMI 12 (Pastel Blue, 128 GB)","9,090",https://flipkart.com//redmi-12-pastel-blue-128-gb/p/itm6eff73774cd3f?pid=MOBGZF9P5SUM5DKS&lid=LSTMOBGZF9P5SUM5DKSEMZXFX&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZF9P5SUM5DKS.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
23,"REDMI 12C (Royal Blue, 128 GB)","9,499",https://flipkart.com//redmi-12c-royal-blue-128-gb/p/itm913784f31d7c5?pid=MOBGZH5RJTE3FSBW&lid=LSTMOBGZH5RJTE3FSBWQVRIZT&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZH5RJTE3FSBW.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
24,"REDMI 12 (Moonstone Silver, 128 GB)","9,130",https://flipkart.com//redmi-12-moonstone-silver-128-gb/p/itm376f80309464e?pid=MOBGZF9PRGKFFFZ4&lid=LSTMOBGZF9PRGKFFFZ49XTBUM&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_25&otracker=search&fm=organic&iid=f4f7f8fd-e8d8-4acf-a5f3-512a56a18e4f.MOBGZF9PRGKFFFZ4.SEARCH&ppt=sp&ppn=sp&ssid=apv0cx3mcg0000001723731982601&qH=9b6bf0057c19bd94
25,"REDMI 12C (Lavender Purple, 128 GB)","9,990",https://flipkart.com//redmi-12c-lavender-purple-128-gb/p/itm685eb6904d024?pid=MOBGR72AUSTAZKES&lid=LSTMOBGR72AUSTAZKESQDNFAR&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_26&otracker=search&fm=organic&iid=f4f7f8fd-e8d8-4acf-a5f3-512a56a18e4f.MOBGR72AUSTAZKES.SEARCH&ppt=sp&ppn=sp&ssid=apv0cx3mcg0000001723731982601&qH=9b6bf0057c19bd94
26,"REDMI 12C (Matte Black, 128 GB)","8,999",https://flipkart.com//redmi-12c-matte-black-128-gb/p/itmcde95d9f187c5?pid=MOBGZEUQWF8QK37Q&lid=LSTMOBGZEUQWF8QK37QHP9ZNS&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_27&otracker=search&fm=organic&iid=f4f7f8fd-e8d8-4acf-a5f3-512a56a18e4f.MOBGZEUQWF8QK37Q.SEARCH&ppt=sp&ppn=sp&ssid=apv0cx3mcg0000001723731982601&qH=9b6bf0057c19bd94
27,"REDMI 12 5G (Jade Black, 256 GB)","13,749",https://flipkart.com//redmi-12-5g-jade-black-256-gb/p/itmd03c1fdf7e11d?pid=MOBGZF9PXPYRDKFC&lid=LSTMOBGZF9PXPYRDKFCUGDW09&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_28&otracker=search&fm=organic&iid=f4f7f8fd-e8d8-4acf-a5f3-512a56a18e4f.MOBGZF9PXPYRDKFC.SEARCH&ppt=sp&ppn=sp&ssid=apv0cx3mcg0000001723731982601&qH=9b6bf0057c19bd94
28,"REDMI Note 12 (Lunar Black, 64 GB)","11,999",https://flipkart.com//redmi-note-12-lunar-black-64-gb/p/itm6756d6e7a86be?pid=MOBGNYHZJGGE3ZHM&lid=LSTMOBGNYHZJGGE3ZHMCSWYEM&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=f4f7f8fd-e8d8-4acf-a5f3-512a56a18e4f.MOBGNYHZJGGE3ZHM.SEARCH&ppt=sp&ppn=sp&ssid=apv0cx3mcg0000001723731982601&qH=9b6bf0057c19bd94
29,"REDMI 12C (Matte Black, 64 GB)","8,499",https://flipkart.com//redmi-12c-matte-black-64-gb/p/itm25f1034a0a65f?pid=MOBGZH88FRJ8GYXZ&lid=LSTMOBGZH88FRJ8GYXZG5UDHU&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=f4f7f8fd-e8d8-4acf-a5f3-512a56a18e4f.MOBGZH88FRJ8GYXZ.SEARCH&ppt=sp&ppn=sp&ssid=apv0cx3mcg0000001723731982601&qH=9b6bf0057c19bd94
30,"REDMI Note 12 (Sunrise Gold, 64 GB)","11,999",https://flipkart.com//redmi-note-12-sunrise-gold-64-gb/p/itm5d170187bcbf0?pid=MOBGNYHZ7ZGHES2V&lid=LSTMOBGNYHZ7ZGHES2VAOTRKH&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_31&otracker=search&fm=organic&iid=f4f7f8fd-e8d8-4acf-a5f3-512a56a18e4f.MOBGNYHZ7ZGHES2V.SEARCH&ppt=sp&ppn=sp&ssid=apv0cx3mcg0000001723731982601&qH=9b6bf0057c19bd94
